Date,Downsize,T2123_Wkly,Breadth_Strength,V_And_M,Use_TLT,Sergy_Ratio,Primary_Asset
2015-12-22,2.0,False,1.0,,False,,DIA
2015-12-23,1.0,False,1.0,,False,,DIA
2015-12-24,2.0,False,1.0,,False,,DIA
2015-12-28,2.0,False,1.0,,False,,DIA
2015-12-29,2.0,False,1.0,,False,,DIA
2015-12-30,2.0,False,1.0,,False,,DIA
2015-12-31,2.0,False,1.0,,False,,DIA
2016-01-04,3.0,False,1.0,,False,,DIA
2016-01-05,3.0,False,1.0,,False,,DIA
2016-01-06,3.0,False,1.0,,False,,DIA
2016-01-07,3.0,False,1.0,,False,,DIA
2016-01-08,3.0,False,1.0,,False,,DIA
2016-01-11,3.0,False,1.0,,False,,DIA
2016-01-12,3.0,False,1.0,,False,,DIA
2016-01-13,3.0,False,1.0,,False,,DIA
2016-01-14,3.0,False,1.0,,False,,DIA
2016-01-15,3.0,False,1.0,,False,,DIA
2016-01-19,3.0,False,1.0,,False,,DIA
2016-01-20,3.0,False,1.0,,False,,DIA
2016-01-21,3.0,False,1.0,,False,,DIA
2016-01-22,3.0,False,1.0,,False,,DIA
2016-01-25,3.0,False,1.0,,False,,DIA
2016-01-26,3.0,False,1.0,,False,,DIA
2016-01-27,3.0,False,1.0,,False,,DIA
2016-01-28,3.0,False,1.0,,False,,DIA
2016-01-29,3.0,False,1.0,,False,,DIA
2016-02-01,3.0,False,1.0,,False,,DIA
2016-02-02,3.0,False,1.0,,False,,DIA
2016-02-03,3.0,False,1.0,,False,,DIA
2016-02-04,3.0,False,1.0,,False,,DIA
2016-02-05,3.0,False,1.0,,False,,DIA
2016-02-08,3.0,False,1.0,,False,,DIA
2016-02-09,3.0,False,1.0,,False,,DIA
2016-02-10,3.0,False,1.0,,False,,DIA
2016-02-11,3.0,False,1.0,,False,,DIA
2016-02-12,3.0,False,1.0,,False,,DIA
2016-02-16,2.0,False,1.0,,False,,DIA
2016-02-17,1.0,False,1.0,,False,,DIA
2016-02-18,1.0,False,1.0,,False,,DIA
2016-02-19,1.0,False,1.0,,False,,DIA
2016-02-22,1.0,False,1.0,,False,,DIA
2016-02-23,1.0,False,1.0,,False,,DIA
2016-02-24,1.0,False,1.0,,False,,DIA
2016-02-25,1.0,False,1.0,,False,,DIA
2016-02-26,0.0,True,1.0,,False,,DIA
2016-02-29,0.0,True,1.0,,False,,DIA
2016-03-01,0.0,True,1.0,,False,,DIA
2016-03-02,0.0,True,1.0,,False,,DIA
2016-03-03,0.0,True,1.0,,False,,DIA
2016-03-04,0.0,True,1.0,,False,,DIA
2016-03-07,0.0,True,1.0,,False,,DIA
2016-03-08,0.0,True,1.0,,False,,DIA
2016-03-09,0.0,True,1.0,,False,,DIA
